date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:04:12	15136/15136	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%223b20-54d60391db280-gzip%22	http://localhost:8080/wp-content/themes/Avada/includes/lib/assets/fonts/icomoon/icomoon.ttf	C:/Meus%20Sites/testef2/localhost_8080/wp-content/themes/Avada/includes/lib/assets/fonts/icomoon/icomoon.ttf	(from http://localhost:8080/wp-content/uploads/fusion-styles/fusion-92.css?ver=4.7.5)
04:04:12	50544/50544	---M-Z	200	added ('OK')	image/svg+xml	etag:%22c570-54d60391db280-gzip%22	http://localhost:8080/wp-content/themes/Avada/includes/lib/assets/fonts/icomoon/icomoon.svg	C:/Meus%20Sites/testef2/localhost_8080/wp-content/themes/Avada/includes/lib/assets/fonts/icomoon/icomoon.svg	(from http://localhost:8080/wp-content/uploads/fusion-styles/fusion-92.css?ver=4.7.5)
04:04:13	490626/490626	---M-Z	200	added ('OK')	text/css	etag:%2277c82-550cc84d7a904-gzip%22	http://localhost:8080/wp-content/uploads/fusion-styles/fusion-global.css?ver=4.7.5	C:/Meus%20Sites/testef2/localhost_8080/wp-content/uploads/fusion-styles/fusion-global66f2.css	(from http://localhost:8080/?author=1)
04:04:15	1598/1598	---M-Z	200	added ('OK')	application/rss+xml	etag:%22bd29d3643aee19215b5892d740f0ab6f-gzip%22	http://localhost:8080/?feed=rss2&author=1	C:/Meus%20Sites/testef2/localhost_8080/index78a0.html	(from http://localhost:8080/?author=1)
04:04:28	533604/533604	---MCZ	200	added ('OK')	application/javascript	etag:%2282464-550ca1d227d75-gzip%22	http://localhost:8080/wp-content/uploads/fusion-scripts/9a4f7815f9cf2906001b670434b8028e.js	C:/Meus%20Sites/testef2/localhost_8080/wp-content/uploads/fusion-scripts/9a4f7815f9cf2906001b670434b8028e.js	(from http://localhost:8080/)
04:04:30	21955/21955	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20May%202017%2007:04:28%20GMT	http://localhost:8080/?p=1	C:/Meus%20Sites/testef2/localhost_8080/indexcff1.html	(from http://localhost:8080/?author=1)
04:04:33	13156/13156	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20May%202017%2007:04:31%20GMT	http://localhost:8080/?cat=1	C:/Meus%20Sites/testef2/localhost_8080/indexb31a.html	(from http://localhost:8080/?author=1)
04:04:38	533604/533604	---MCZ	200	added ('OK')	application/javascript	etag:%2282464-550cb10c5dd27-gzip%22	http://localhost:8080/wp-content/uploads/fusion-scripts/4bb71a2bba9f6add4fd3cdf565960e44.js	C:/Meus%20Sites/testef2/localhost_8080/wp-content/uploads/fusion-scripts/4bb71a2bba9f6add4fd3cdf565960e44.js	(from http://localhost:8080/?author=1)
04:04:53	566260/566260	---M--	200	added ('OK')	image/png	etag:%228a3f4-550c2cb451cef%22	http://localhost:8080/wp-content/uploads/2017/05/molten-core-2-lava-3.png	C:/Meus%20Sites/testef2/localhost_8080/wp-content/uploads/2017/05/molten-core-2-lava-3.png	(from http://localhost:8080/)
04:05:01	753000/753000	---M--	200	added ('OK')	image/png	etag:%22b7d68-550c2bd54eae8%22	http://localhost:8080/wp-content/uploads/2017/05/invisible_man__check__by_guixz-d7r4wqm1.png	C:/Meus%20Sites/testef2/localhost_8080/wp-content/uploads/2017/05/invisible_man__check__by_guixz-d7r4wqm1.png	(from http://localhost:8080/)
04:05:01	490626/490626	---M-Z	200	added ('OK')	text/css	etag:%2277c82-550cc88171282-gzip%22	http://localhost:8080/wp-content/uploads/fusion-styles/fusion-1.css?ver=4.7.5	C:/Meus%20Sites/testef2/localhost_8080/wp-content/uploads/fusion-styles/fusion-166f2.css	(from http://localhost:8080/?p=1)
04:05:03	1576/1576	---M-Z	200	added ('OK')	application/rss+xml	etag:%225d5230324280bc0d72d4967a235d3eb0-gzip%22	http://localhost:8080/?feed=rss2&p=1	C:/Meus%20Sites/testef2/localhost_8080/indexe539.html	(from http://localhost:8080/?p=1)
04:05:04	2183/2183	---M-Z	200	added ('OK')	application/json	date:Wed,%2031%20May%202017%2007:05:01%20GMT	http://localhost:8080/?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8080%2F%3Fp%3D1	C:/Meus%20Sites/testef2/localhost_8080/index3aa8.html	(from http://localhost:8080/?p=1)
04:05:04	2284/2284	---M-Z	200	added ('OK')	text/xml	date:Wed,%2031%20May%202017%2007:05:02%20GMT	http://localhost:8080/?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Flocalhost%3A8080%2F%3Fp%3D1&format=xml	C:/Meus%20Sites/testef2/localhost_8080/indexecd1.html	(from http://localhost:8080/?p=1)
04:05:04	21981/21981	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20May%202017%2007:05:02%20GMT	http://localhost:8080/?p=1&replytocom=1	C:/Meus%20Sites/testef2/localhost_8080/index301c.html	(from http://localhost:8080/?p=1)
04:05:05	1603/1603	---M-Z	200	added ('OK')	application/rss+xml	etag:%22bd29d3643aee19215b5892d740f0ab6f-gzip%22	http://localhost:8080/?feed=rss2&cat=1	C:/Meus%20Sites/testef2/localhost_8080/index7e31.html	(from http://localhost:8080/?cat=1)
